iter	Passed	Remaining
0	181	181523
1	203	101410
2	221	73717
3	242	60358
4	265	52786
5	285	47332
6	310	44040
7	330	41019
8	353	38954
9	378	37515
10	396	35663
11	417	34367
12	440	33415
13	457	32235
14	474	31148
15	489	30074
16	507	29361
17	521	28434
18	536	27716
19	562	27548
20	581	27088
21	595	26458
22	610	25918
23	630	25639
24	647	25271
25	663	24867
26	681	24545
27	704	24466
28	723	24223
29	739	23923
30	754	23589
31	770	23317
32	786	23049
33	805	22874
34	828	22844
35	845	22636
36	864	22496
37	886	22434
38	916	22583
39	1080	25935
40	1114	26064
41	1149	26211
42	1166	25962
43	1186	25775
44	1203	25546
45	1221	25329
46	1243	25217
47	1261	25026
48	1282	24891
49	1301	24728
50	1322	24601
51	1341	24454
52	1361	24325
53	1381	24206
54	1401	24086
55	1421	23958
56	1439	23810
57	1464	23787
58	1595	25440
59	1682	26353
60	1716	26430
61	1756	26580
62	1781	26492
63	1809	26461
64	1830	26334
65	1857	26291
66	1877	26147
67	1897	26007
68	1920	25907
69	1941	25798
70	1963	25686
71	1993	25696
72	2027	25740
73	2069	25898
74	2110	26031
75	2140	26024
76	2170	26016
77	2195	25954
78	2223	25920
79	2248	25856
80	2270	25758
81	2290	25647
82	2315	25579
83	2335	25465
84	2358	25391
85	2379	25290
86	2400	25189
87	2424	25121
88	2445	25027
89	2469	24974
90	2495	24931
91	2526	24936
92	2565	25021
93	2606	25125
94	2629	25046
95	2648	24936
96	2669	24848
97	2691	24776
98	2712	24689
99	2733	24597
100	2752	24497
101	2772	24409
102	2789	24294
103	2808	24192
104	2826	24088
105	2843	23984
106	2862	23888
107	2880	23792
108	2956	24167
109	3052	24697
110	3201	25638
111	3264	25882
112	3386	26582
113	3518	27345
114	3603	27727
115	3652	27830
116	3693	27876
117	3719	27800
118	3763	27862
119	3798	27857
120	3844	27930
121	3882	27940
122	3918	27936
123	3962	27993
124	4003	28027
125	4032	27968
126	4064	27941
127	4095	27901
128	4132	27902
129	4186	28020
130	4234	28090
131	4355	28642
132	4439	28938
133	4537	29324
134	4622	29616
135	4716	29962
136	4756	29960
137	4788	29913
138	4835	29952
139	4873	29934
140	4930	30037
141	4978	30082
142	5050	30268
143	5099	30313
144	5148	30361
145	5197	30403
146	5248	30452
147	5293	30472
148	5331	30450
149	5388	30536
150	5428	30522
151	5479	30569
152	5523	30578
153	5555	30517
154	5584	30442
155	5634	30484
156	5694	30575
157	5757	30683
158	5836	30869
159	5876	30851
160	5933	30920
161	5993	31000
162	6072	31181
163	6103	31110
